kegiatan utama,indikator kegiatan utama,Rencana Aksi,output(Satuan),pic_pelaksana,target tw 1,target tw 2,target tw 3,target tw 4,capaian output tw 1,capaian output tw 2,capaian output tw 3,capaian output tw 4,status tw 1,status tw 2,status tw 3,status tw 4,Persentase Pencapaian Target
Peningkatan Realisasi Investasi,Jumlah MoU atau PKS dengan K/L terkait,Melakukan audiensi dan koordinasi dengan BKPM terkait pertukaran dan pemanfaatan data dan/atau informasi terkait investasi dan hilirisasi,Laporan,Deputi Bidang Statistik Distribusi dan Jasa,0,1,1,1,0,1,0,0,Tidak Ada Target,Target Tercapai,Tidak Tercapai,Tidak Tercapai,50%
Peningkatan Realisasi Investasi,"Data dan fenomena statistik keuangan, teknologi informasi, dan pariwisata untuk penyusunan bahan rilis PDB yang tersedia tepat waktu","Pengiriman data dan fenomena statistik keuangan, teknologi informasi, dan pariwisata untuk penyusunan bahan rilis PDB yang tersedia secara triwulanan ke Direktorat Neraca Produksi dan Direktorat Neraca Pengeluaran",Data,Deputi Bidang Statistik Distribusi dan Jasa,1,2,3,4,1,2,3,4,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,100%
Peningkatan Realisasi Investasi,Jumlah publikasi pertumbuhan ekonomi nasional menurut triwulan,Penyusunan publikasi PDB Indonesia triwulanan 2021-2025,Dokumen,Deputi Bidang NAS,0,0,0,1,0,0,0.5,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,100%
Peningkatan Realisasi Investasi,Jumlah publikasi pertumbuhan ekonomi nasional menurut provinsi,Produk Domestik Regional Bruto Provinsi-Provinsi di Indonesia Menurut Lapangan Usaha 2020-2024,Dokumen,Deputi Bidang NAS,1,1,1,1,0.5,1,0,0,Tidak Tercapai,Target Tercapai,Tidak Tercapai,Tidak Tercapai,25%
Peningkatan Realisasi Investasi,Jumlah kegiatan pemeriksaan data pada kegiatan statistik terkait peningkatan investasi,Identifikasi Kebutuhan,Dokumen,Deputi Bidang NAS,1,1,1,1,1,1,0,0,Target Tercapai,Target Tercapai,Tidak Tercapai,Tidak Tercapai,50%
Peningkatan Realisasi Investasi,Jumlah kegiatan pemeriksaan data pada kegiatan statistik terkait peningkatan investasi,Perumusan Indikator,Dokumen,Deputi Bidang NAS,0,1,1,1,0,1,0,0,Tidak Ada Target,Target Tercapai,Tidak Tercapai,Tidak Tercapai,50%
Peningkatan Realisasi Investasi,Jumlah kegiatan pemeriksaan data pada kegiatan statistik terkait peningkatan investasi,Pemeriksaan Data,Laporan,Deputi Bidang NAS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,100%
Peningkatan Realisasi Investasi,Jumlah laporan kegiatan penjaminan kualitas melalui quality gates untuk kegiatan statistik yang mendukung peningkatan investasi,Internalisasi Penjaminan Kualitas melalui Quality Gates untuk penanggung jawab/tim pada kegiatan statistik yang mendukung peningkatan investasi,Laporan,Deputi Bidang NAS,0,1,1,1,0,1,0,0,Tidak Ada Target,Target Tercapai,Tidak Tercapai,Tidak Tercapai,50%
Peningkatan Realisasi Investasi,Jumlah laporan kegiatan penjaminan kualitas melalui quality gates untuk kegiatan statistik yang mendukung peningkatan investasi,Monitoring dan Evaluasi Implementasi Penjaminan Kualitas melalui Quality Gates untuk kegiatan statistik yang mendukung peningkatan investasi,Laporan,Deputi Bidang NAS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,100%
Pengendalian Inflasi,Tersedianya data dan indikator terkait inflasi dengan dukungan sistem pengumpulan data multimoda dalam rangka pengendalian inflasi,Diseminasi data inflasi pada website BPS sesuai jadwal rilis yang ditetapkan,Persentase,Deputi Bidang MIS,0.25,0.5,0.75,1,0.25,0.5,0.75,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,100%
